Event Index,UTC Timestamp,UTC Date,Post Processed,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,randomise_trials,display,sound,hc_ans,sound_nc_1,sound_nc_3,sound_nc_2,sound_c_1,sound_c_2,sound_c_3,progress,answer
11,1511014101514,18/11/2017 14:08:21,,1511014410313,-5,18/11/2017 09:13:30,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,1,1,Screen 1,fixation,fixation,1066.442443959546,,,0,1,0,,,,rt_test_v1,,,trials,noise_tone_F0_500_Hz_2_tChange_3044.wav,,,,,,,,,1
12,1511014104822,18/11/2017 14:08:24,,1511014413625,-5,18/11/2017 09:13:33,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,1,2,Screen 2,Zone4,response_keyboard_single,3286.449999999997,1,1,1,0,0,,,,rt_test_v1,,,trials,noise_tone_F0_500_Hz_2_tChange_3044.wav,,,,,,,,,1
13,1511014106182,18/11/2017 14:08:26,,1511014414978,-5,18/11/2017 09:13:34,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,2,1,Screen 1,fixation,fixation,1066.444262295583,,,0,1,0,,,,rt_test_v1,,,trials,noise_tone_F0_500_Hz_4_tChange_4142.wav,,,,,,,,,1
14,1511014110589,18/11/2017 14:08:30,,1511014419384,-5,18/11/2017 09:13:39,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,2,2,Screen 2,Zone4,response_keyboard_single,4377.790000000008,1,1,1,0,0,,,,rt_test_v1,,,trials,noise_tone_F0_500_Hz_4_tChange_4142.wav,,,,,,,,,1
15,1511014111947,18/11/2017 14:08:31,,1511014420743,-5,18/11/2017 09:13:40,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,3,1,Screen 1,fixation,fixation,1066.267423984711,,,0,1,0,,,,rt_test_v1,,,trials,noise_tone_F0_500_Hz_1_tChange_3834.wav,,,,,,,,,1
16,1511014115397,18/11/2017 14:08:35,,1511014424200,-5,18/11/2017 09:13:44,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,3,2,Screen 2,Zone4,response_keyboard_single,3433.9349999999977,1,1,1,0,0,,,,rt_test_v1,,,trials,noise_tone_F0_500_Hz_1_tChange_3834.wav,,,,,,,,,1
17,1511014116764,18/11/2017 14:08:36,,1511014425558,-5,18/11/2017 09:13:45,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,4,1,Screen 1,fixation,fixation,1066.3197515544452,,,0,1,0,,,,rt_test_v1,,,trials,noise_tone_F0_500_Hz_3_tChange_4632.wav,,,,,,,,,1
18,1511014121739,18/11/2017 14:08:41,,1511014430535,-5,18/11/2017 09:13:50,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,4,2,Screen 2,Zone4,response_keyboard_single,4956.699999999997,1,1,1,0,0,,,,rt_test_v1,,,trials,noise_tone_F0_500_Hz_3_tChange_4632.wav,,,,,,,,,1
19,1511014123082,18/11/2017 14:08:43,,1511014431889,-5,18/11/2017 09:13:51,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,5,1,Screen 1,fixation,fixation,1066.1844624030928,,,0,1,0,,,,rt_test_v1,,,trials,noise_tone_F0_500_Hz_5_tChange_3806.wav,,,,,,,,,1
20,1511014127405,18/11/2017 14:08:47,,1511014436206,-5,18/11/2017 09:13:56,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,5,2,Screen 2,Zone4,response_keyboard_single,4293.134999999995,1,1,1,0,0,,,,rt_test_v1,,,trials,noise_tone_F0_500_Hz_5_tChange_3806.wav,,,,,,,,,1
21,1511014128770,18/11/2017 14:08:48,,1511014437570,-5,18/11/2017 09:13:57,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,6,1,Screen 1,fixation,fixation,1066.2785223544488,,,0,1,0,,,,rt_test_v1,,,trials,noise_tone_F0_500_Hz_2_tChange_3044.wav,,,,,,,,,1
22,1511014132111,18/11/2017 14:08:52,,1511014440895,-5,18/11/2017 09:14:00,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,6,2,Screen 2,Zone4,response_keyboard_single,3302.5199999999895,1,1,1,0,0,,,,rt_test_v1,,,trials,noise_tone_F0_500_Hz_2_tChange_3044.wav,,,,,,,,,1
23,1511014133458,18/11/2017 14:08:53,,1511014442252,-5,18/11/2017 09:14:02,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,7,1,Screen 1,fixation,fixation,1066.4238597442454,,,0,1,0,,,,rt_test_v1,,,trials,noise_tone_F0_500_Hz_4_tChange_4142.wav,,,,,,,,,1
24,1511014137901,18/11/2017 14:08:57,,1511014446702,-5,18/11/2017 09:14:06,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,7,2,Screen 2,Zone4,response_keyboard_single,4428.630000000005,1,1,1,0,0,,,,rt_test_v1,,,trials,noise_tone_F0_500_Hz_4_tChange_4142.wav,,,,,,,,,1
25,1511014139440,18/11/2017 14:08:59,,1511014448067,-5,18/11/2017 09:14:08,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,8,1,Screen 1,fixation,fixation,1066.1655675855727,,,0,1,0,,,,rt_test_v1,,,trials,noise_tone_F0_500_Hz_1_tChange_3834.wav,,,,,,,,,1
26,1511014143614,18/11/2017 14:09:03,,1511014452415,-5,18/11/2017 09:14:12,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,8,2,Screen 2,Zone4,response_keyboard_single,4323.324999999997,1,1,1,0,0,,,,rt_test_v1,,,trials,noise_tone_F0_500_Hz_1_tChange_3834.wav,,,,,,,,,1
27,1511014144965,18/11/2017 14:09:04,,1511014453764,-5,18/11/2017 09:14:13,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,9,1,Screen 1,fixation,fixation,1066.4191892406816,,,0,1,0,,,,rt_test_v1,,,trials,noise_tone_F0_500_Hz_3_tChange_4632.wav,,,,,,,,,1
28,1511014149879,18/11/2017 14:09:09,,1511014458678,-5,18/11/2017 09:14:18,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,9,2,Screen 2,Zone4,response_keyboard_single,4890.425000000003,1,1,1,0,0,,,,rt_test_v1,,,trials,noise_tone_F0_500_Hz_3_tChange_4632.wav,,,,,,,,,1
29,1511014151247,18/11/2017 14:09:11,,1511014460029,-5,18/11/2017 09:14:20,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,10,1,Screen 1,fixation,fixation,1066.2534565438982,,,0,1,0,,,,rt_test_v1,,,trials,noise_tone_F0_500_Hz_5_tChange_3806.wav,,,,,,,,,1
30,1511014155327,18/11/2017 14:09:15,,1511014464125,-5,18/11/2017 09:14:24,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,10,2,Screen 2,Zone4,response_keyboard_single,4074.9900000000052,1,1,1,0,0,,,,rt_test_v1,,,trials,noise_tone_F0_500_Hz_5_tChange_3806.wav,,,,,,,,,1
31,1511014156665,18/11/2017 14:09:16,,1511014465460,-5,18/11/2017 09:14:25,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,11,1,Screen 1,fixation,fixation,1049.5585521408648,,,0,1,0,,,,rt_test_v1,,,trials,noise_tone_F0_500_Hz_2_tChange_3044.wav,,,,,,,,,1
32,1511014160160,18/11/2017 14:09:20,,1511014468967,-5,18/11/2017 09:14:28,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,11,2,Screen 2,Zone4,response_keyboard_single,3479.954999999987,1,1,1,0,0,,,,rt_test_v1,,,trials,noise_tone_F0_500_Hz_2_tChange_3044.wav,,,,,,,,,1
33,1511014161523,18/11/2017 14:09:21,,1511014470325,-5,18/11/2017 09:14:30,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,12,1,Screen 1,fixation,fixation,1066.3299018176913,,,0,1,0,,,,rt_test_v1,,,trials,noise_tone_F0_500_Hz_4_tChange_4142.wav,,,,,,,,,1
34,1511014165916,18/11/2017 14:09:25,,1511014474709,-5,18/11/2017 09:14:34,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,12,2,Screen 2,Zone4,response_keyboard_single,4362.135000000009,1,1,1,0,0,,,,rt_test_v1,,,trials,noise_tone_F0_500_Hz_4_tChange_4142.wav,,,,,,,,,1
35,1511014167331,18/11/2017 14:09:27,,1511014476073,-5,18/11/2017 09:14:36,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,13,1,Screen 1,fixation,fixation,1066.2051867250702,,,0,1,0,,,,rt_test_v1,,,trials,noise_tone_F0_500_Hz_1_tChange_3834.wav,,,,,,,,,1
36,1511014171363,18/11/2017 14:09:31,,1511014480164,-5,18/11/2017 09:14:40,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,13,2,Screen 2,Zone4,response_keyboard_single,4072.850000000006,1,1,1,0,0,,,,rt_test_v1,,,trials,noise_tone_F0_500_Hz_1_tChange_3834.wav,,,,,,,,,1
37,1511014172723,18/11/2017 14:09:32,,1511014481521,-5,18/11/2017 09:14:41,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,14,1,Screen 1,fixation,fixation,1066.2779871768726,,,0,1,0,,,,rt_test_v1,,,trials,noise_tone_F0_500_Hz_3_tChange_4632.wav,,,,,,,,,1
38,1511014177632,18/11/2017 14:09:37,,1511014486436,-5,18/11/2017 09:14:46,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,14,2,Screen 2,Zone4,response_keyboard_single,4895.460000000021,1,1,1,0,0,,,,rt_test_v1,,,trials,noise_tone_F0_500_Hz_3_tChange_4632.wav,,,,,,,,,1
39,1511014178969,18/11/2017 14:09:38,,1511014487769,-5,18/11/2017 09:14:47,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,15,1,Screen 1,fixation,fixation,1049.791668012389,,,0,1,0,,,,rt_test_v1,,,trials,noise_tone_F0_500_Hz_5_tChange_3806.wav,,,,,,,,,1
40,1511014183139,18/11/2017 14:09:43,,1511014491908,-5,18/11/2017 09:14:51,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,15,2,Screen 2,Zone4,response_keyboard_single,4114.979999999981,1,1,1,0,0,,,,rt_test_v1,,,trials,noise_tone_F0_500_Hz_5_tChange_3806.wav,,,,,,,,,1
41,1511014206190,18/11/2017 14:10:06,,1511014514980,-5,18/11/2017 09:15:14,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,1,1,Screen 1,Zone2,continue_button,22745.765000000014,,,0,1,0,,,,rt_test_v1,,,rt_tone,tone_tone_F0_500_Hz_Delta_0_2_tChange_4440.wav,,,,,,,,,
42,1511014207273,18/11/2017 14:10:07,,1511014516042,-5,18/11/2017 09:15:16,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,16,1,Screen 1,fixation,fixation,1066.378071422805,,,0,1,0,,,,rt_test_v1,,,trials,tone_tone_F0_500_Hz_Delta_50_2_tChange_3834.wav,,,,,,,,,1
43,1511014211615,18/11/2017 14:10:11,,1511014520403,-5,18/11/2017 09:15:20,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,16,2,Screen 2,Zone4,response_keyboard_single,4338.9250000000175,1,1,1,0,0,,,,rt_test_v1,,,trials,tone_tone_F0_500_Hz_Delta_50_2_tChange_3834.wav,,,,,,,,,1
44,1511014212954,18/11/2017 14:10:12,,1511014521757,-5,18/11/2017 09:15:21,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,17,1,Screen 1,fixation,fixation,1066.2425908994337,,,0,1,0,,,,rt_test_v1,,,trials,tone_tone_F0_500_Hz_Delta_25_3_tChange_3408.wav,,,,,,,,,1
45,1511014216783,18/11/2017 14:10:16,,1511014525532,-5,18/11/2017 09:15:25,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,17,2,Screen 2,Zone4,response_keyboard_single,3754.6999999999825,1,1,1,0,0,,,,rt_test_v1,,,trials,tone_tone_F0_500_Hz_Delta_25_3_tChange_3408.wav,,,,,,,,,1
46,1511014218069,18/11/2017 14:10:18,,1511014526872,-5,18/11/2017 09:15:26,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,18,1,Screen 1,fixation,fixation,1049.6000931504823,,,0,1,0,,,,rt_test_v1,,,trials,tone_tone_F0_500_Hz_Delta_0_2_tChange_4440.wav,,,,,,,,,0
47,1511014224580,18/11/2017 14:10:24,,1511014533374,-5,18/11/2017 09:15:33,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,18,2,Screen 2,Zone2,gonogo_audio,6497.692015409964,0,,1,0,0,,,,rt_test_v1,,,trials,tone_tone_F0_500_Hz_Delta_0_2_tChange_4440.wav,,,,,,,,,0
48,1511014225933,18/11/2017 14:10:25,,1511014534736,-5,18/11/2017 09:15:34,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,19,1,Screen 1,fixation,fixation,1066.3114935801423,,,0,1,0,,,,rt_test_v1,,,trials,tone_tone_F0_500_Hz_Delta_0_4_tChange_3604.wav,,,,,,,,,0
49,1511014229910,18/11/2017 14:10:29,,1511014538714,-5,18/11/2017 09:15:38,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,19,2,Screen 2,Zone4,response_keyboard_single,3957.670000000013,1,1,0,1,0,,,,rt_test_v1,,,trials,tone_tone_F0_500_Hz_Delta_0_4_tChange_3604.wav,,,,,,,,,0
50,1511014231269,18/11/2017 14:10:31,,1511014540067,-5,18/11/2017 09:15:40,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,20,1,Screen 1,fixation,fixation,1066.2286008199735,,,0,1,0,,,,rt_test_v1,,,trials,tone_tone_F0_500_Hz_Delta_10_4_tChange_3793.wav,,,,,,,,,1
51,1511014235166,18/11/2017 14:10:35,,1511014543969,-5,18/11/2017 09:15:43,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,20,2,Screen 2,Zone4,response_keyboard_single,3884.204999999987,1,1,1,0,0,,,,rt_test_v1,,,trials,tone_tone_F0_500_Hz_Delta_10_4_tChange_3793.wav,,,,,,,,,1
52,1511014236555,18/11/2017 14:10:36,,1511014545315,-5,18/11/2017 09:15:45,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,21,1,Screen 1,fixation,fixation,1050.000063388201,,,0,1,0,,,,rt_test_v1,,,trials,tone_tone_F0_500_Hz_Delta_0_5_tChange_3293.wav,,,,,,,,,0
53,1511014240775,18/11/2017 14:10:40,,1511014549577,-5,18/11/2017 09:15:49,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,21,2,Screen 2,Zone4,response_keyboard_single,4243.6600000000035,1,1,0,1,0,,,,rt_test_v1,,,trials,tone_tone_F0_500_Hz_Delta_0_5_tChange_3293.wav,,,,,,,,,0
54,1511014242126,18/11/2017 14:10:42,,1511014550930,-5,18/11/2017 09:15:50,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,22,1,Screen 1,fixation,fixation,1066.228634928906,,,0,1,0,,,,rt_test_v1,,,trials,tone_tone_F0_500_Hz_Delta_25_2_tChange_4370.wav,,,,,,,,,1
55,1511014246814,18/11/2017 14:10:46,,1511014555617,-5,18/11/2017 09:15:55,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,22,2,Screen 2,Zone4,response_keyboard_single,4669.004999999976,1,1,1,0,0,,,,rt_test_v1,,,trials,tone_tone_F0_500_Hz_Delta_25_2_tChange_4370.wav,,,,,,,,,1
56,1511014248175,18/11/2017 14:10:48,,1511014556978,-5,18/11/2017 09:15:56,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,23,1,Screen 1,fixation,fixation,1066.4710432099237,,,0,1,0,,,,rt_test_v1,,,trials,tone_tone_F0_500_Hz_Delta_0_1_tChange_3834.wav,,,,,,,,,0
57,1511014254072,18/11/2017 14:10:54,,1511014562863,-5,18/11/2017 09:16:02,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,23,2,Screen 2,Zone2,gonogo_audio,5881.247820426623,0,,1,0,0,,,,rt_test_v1,,,trials,tone_tone_F0_500_Hz_Delta_0_1_tChange_3834.wav,,,,,,,,,0
58,1511014255434,18/11/2017 14:10:55,,1511014564226,-5,18/11/2017 09:16:04,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,24,1,Screen 1,fixation,fixation,1066.4702970401559,,,0,1,0,,,,rt_test_v1,,,trials,tone_tone_F0_500_Hz_Delta_10_2_tChange_3372.wav,,,,,,,,,1
59,1511014259151,18/11/2017 14:10:59,,1511014567944,-5,18/11/2017 09:16:07,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,24,2,Screen 2,Zone4,response_keyboard_single,3698.8850000000093,1,1,1,0,0,,,,rt_test_v1,,,trials,tone_tone_F0_500_Hz_Delta_10_2_tChange_3372.wav,,,,,,,,,1
60,1511014260504,18/11/2017 14:11:00,,1511014569307,-5,18/11/2017 09:16:09,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,25,1,Screen 1,fixation,fixation,1066.2378624409612,,,0,1,0,,,,rt_test_v1,,,trials,tone_tone_F0_500_Hz_Delta_50_4_tChange_3280.wav,,,,,,,,,1
61,1511014264064,18/11/2017 14:11:04,,1511014572856,-5,18/11/2017 09:16:12,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,25,2,Screen 2,Zone4,response_keyboard_single,3531.3699999999953,1,1,1,0,0,,,,rt_test_v1,,,trials,tone_tone_F0_500_Hz_Delta_50_4_tChange_3280.wav,,,,,,,,,1
62,1511014265406,18/11/2017 14:11:05,,1511014574205,-5,18/11/2017 09:16:14,2349,2,task-o4po,,877740,CMU-1,183200,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 56.0,1280x1024,1280x915,,RT_test,2,26,1,Screen 1,fixation,fixation,1066.0908491876617,,,0,1,0,,,,rt_test_v1,,,trials,tone_tone_F0_500_Hz_Delta_50_5_tChange_3396.wav,,,,,,,,,1
